F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,Class
1,1,1,0.760211471,1,1,0.766517917,0.620185879,0.76022164,0.619969516,0.760194007,1,1,0.620103651,0.760189145,0.619940429,1,1,1,0.76023365,1,1,0.762041669,0.619922959,0.760219528,0.620007582,0.76029096,1,1,0.620139497,0.760211455,0.619969221,1,1,1,0.760206791,1,1,0.760463298,0.620922214,0.760420175,0.620733768,0.760190255,1,1,0.634900871,0.760253288,0.620471828,1,0.760189262,0.760191415,0.76023365,1,0.619984958,0.762041669,1,0.760219528,1,0.76029096,0.760217039,1,1,0.760211455,1,1,0.760206262,0.76027894,0.760206791,1,0.619994697,0.760463298,1,0.760420175,1,0.760190255,0.760193822,1,1,0.760253288,1,C
0.760582241,1,0.529879289,0.762049059,0.76560915,1,1,1,1,0.760592943,0.760653819,1,1,1,1,0.760226681,0.769065181,1,0.522588323,0.760199228,0.780255405,1,1,1,1,0.760285087,0.760255228,1,1,1,1,0.762236125,0.761435483,1,0.520747058,0.760293645,0.760482637,1,1,1,1,0.760191705,0.761335318,1,1,1,1,0.760770406,1,1,0.761523794,1,0.780255405,0.767217622,0.76018754,1,0.760385124,1,1,0.621624357,1,0.760463407,0.623259405,1,1,1,0.760345979,1,0.760482637,0.762972263,0.767931294,1,0.760214033,1,1,0.621626443,1,0.760354524,0.620112268,1,C
1,1,0.760189588,0.760196914,1,1,0.760199097,0.76023663,1,1,0.760193737,0.760209353,0.760225713,0.760204159,0.760195125,0.760220557,1,1,0.760190379,0.760216397,1,1,0.760207781,0.760199519,1,1,0.760189211,0.760213364,0.76018764,0.760195766,0.760198253,0.760309429,1,1,0.760234765,0.760320507,1,1,0.760271175,0.760202094,1,1,0.7602017,0.760409387,0.760337168,0.760219949,0.760543217,0.760669328,1,1,0.760190379,0.760216397,1,1,0.760207781,0.760199519,1,1,0.760189211,0.760213364,0.76018764,0.760195766,0.760198253,0.760309429,1,1,0.760234765,0.760320507,1,1,0.760271175,0.760202094,1,1,0.7602017,0.760409387,0.760337168,0.760219949,0.760543217,0.760669328,C
1,1,1,0.760197635,1,1,1,0.760206644,1,1,1,0.760197134,1,1,1,0.760207966,1,1,1,0.760230002,1,1,1,0.760251115,1,1,1,0.760244541,1,1,1,0.760187571,1,1,1,0.760251598,1,1,1,0.760242383,1,1,1,0.760305849,1,1,1,0.7602675,1,1,1,0.760230002,1,1,1,0.760251115,1,1,1,0.760244541,1,0.620105726,1,0.760187571,1,1,1,0.760251598,1,1,1,0.760242383,1,1,1,0.760305849,1,0.619997852,1,0.7602675,C
0.760199362,1,0.760197832,0.760199744,0.760207535,0.760202089,1,1,1,0.760191422,1,0.760198163,0.760198508,0.760210498,0.760208222,1,0.760197365,1,0.760196668,0.760215267,0.760188856,0.76020352,1,1,1,0.760202559,1,0.760206969,0.760212995,0.760199485,0.760215624,1,0.760293653,1,0.760554422,0.760290142,0.760189306,0.760435532,1,1,1,0.760190324,1,0.760276882,0.760192207,0.760251312,0.760326681,1,0.760197365,1,1,0.760215267,0.760188856,0.76020352,1,0.760187737,0.760196362,0.760202559,1,0.760206969,0.760212995,0.760199485,0.760215624,1,0.760293653,1,1,0.760290142,0.760189306,0.760435532,1,0.760880332,0.760287405,0.760190324,1,0.760276882,0.760192207,0.760251312,0.760326681,1,C
0.760206477,1,0.760189995,0.760274497,0.76025906,1,1,0.760227655,0.760223467,0.760210674,1,1,0.76021963,0.760276144,0.76018826,1,0.760188622,1,0.760188034,0.760256032,0.760199766,1,1,0.760194795,0.760272626,0.760218747,1,1,0.760193704,0.760193839,0.760279263,1,0.760343986,1,0.760206117,0.76019411,0.760256239,1,1,0.760286029,0.760394374,0.760270042,1,1,0.760187971,0.760222479,0.760260339,1,0.760188622,1,0.760188034,0.760256032,1,0.761578559,0.760361395,0.760194795,0.760272626,0.760218747,1,0.619921383,0.760193704,0.760193839,0.760279263,0.76019141,0.760343986,1,0.760206117,0.76019411,1,0.7605102,0.760269696,0.760286029,0.760394374,0.760270042,1,0.620100558,0.760187971,0.760222479,0.760260339,0.760224189,C
0.760200701,1,1,0.760196328,1,1,0.620042555,0.760198618,0.760197182,1,1,0.760197864,1,1,0.760190861,0.760192662,0.760200615,1,1,0.760203986,1,1,0.619928833,0.760206153,0.760201907,1,1,0.760204721,1,1,0.760210484,0.760207366,0.760264442,1,1,0.76026727,1,1,0.619911466,0.760309706,0.760336524,1,1,0.760277247,1,1,0.760374808,0.760280656,0.760200615,0.619978002,1,0.760203986,1,1,1,0.760206153,0.760201907,1,1,0.760204721,1,1,0.760210484,0.760207366,0.760264442,0.619965175,1,0.76026727,1,1,1,0.760309706,0.760336524,1,1,0.760277247,1,1,0.760374808,0.760280656,T1
0.619912981,1,0.760196524,0.760188365,1,1,1,0.760982246,0.760229825,1,1,0.760193877,0.760189534,0.61999623,1,0.619921524,0.619984419,1,0.760199306,0.760279301,1,1,1,0.760188268,0.760187615,1,1,0.760191304,0.760248035,0.620039715,1,0.619931925,0.619944015,1,0.760229342,0.760190197,1,1,1,0.760222947,0.760248595,1,1,0.760233725,0.76025493,0.619923522,1,0.620052398,1,1,0.760199306,0.760279301,1,0.761642829,0.619927079,0.760188268,1,0.619961473,1,0.760191304,0.760248035,1,1,0.619931925,1,1,0.760229342,0.760190197,1,0.760193622,0.619923951,0.760222947,1,0.619992585,1,0.760233725,0.76025493,1,1,0.620052398,T2
1,1,1,0.760200973,1,0.619976912,1,1,0.760203605,1,0.760207547,1,0.760189781,1,1,1,1,1,1,0.760209309,1,0.620012272,1,1,0.760187577,1,0.760206434,1,0.760203762,1,1,1,1,1,1,0.760288517,1,0.620671066,1,1,0.760223154,1,0.760339994,1,0.760281725,1,1,1,1,1,0.620131743,0.760209309,1,1,0.620097137,0.76021934,1,1,0.760206434,1,0.760203762,1,1,1,1,1,0.620762173,0.760288517,1,1,0.621027841,0.760486919,1,1,0.760339994,1,0.760281725,1,1,1,T3
0.619980864,1,1,0.760191951,1,0.760198829,1,0.620078476,0.620028381,0.760210787,0.760388703,1,0.760248687,0.760188084,0.619971943,1,0.620009143,1,1,0.760198432,1,0.760204154,1,0.619912589,0.620062555,0.760270733,0.760189561,1,0.760262406,0.760190047,0.620229196,1,0.655033322,1,1,0.76022595,1,0.760199334,1,0.620511655,0.62025124,0.760585271,0.761575277,1,0.760233966,0.760192488,0.620320235,1,1,0.760190199,1,0.760198432,1,0.760204154,0.619950694,1,1,0.760270733,1,1,0.760262406,0.760190047,1,0.620026581,1,0.760405994,1,0.76022595,1,0.760199334,0.62021441,1,1,0.760585271,1,1,0.760233966,0.760192488,1,0.620092496,T1
1,1,0.760198472,1,0.760198341,0.760207084,0.619928018,0.760208693,0.760203141,1,1,0.61997638,0.760203556,0.760187925,1,0.619952662,1,1,0.760206297,1,0.760190067,0.760256199,0.620147155,0.760253019,0.760455426,1,1,0.620322061,0.760249991,0.76034727,1,0.619950523,1,1,0.760243068,1,0.760223216,0.760347737,0.620079037,0.760198493,0.760188671,1,1,0.619958503,0.760202857,0.760229549,1,0.620096577,1,1,0.760206297,1,0.619910947,0.760256199,0.620147155,0.619993692,0.760455426,0.619942653,1,1,0.760249991,1,1,1,1,1,0.760243068,1,0.619933058,0.760347737,0.620079037,0.619919058,0.760188671,0.622605078,1,1,0.760202857,1,1,1,T2
1,1,1,0.760239516,1,1,1,0.760250784,0.760775994,1,1,0.761423719,0.760645866,1,0.76018845,0.760270044,1,1,1,0.760210224,1,1,1,0.760679834,0.760191811,1,1,0.76019157,0.760189515,1,0.760213938,0.760621406,1,1,1,0.760194625,1,1,1,0.760319375,0.760283196,1,1,0.7602744,0.760212075,1,0.760277107,0.760244751,0.760276792,0.760636967,0.760194902,0.760210224,0.760202349,1,0.760211201,1,1,1,0.760227819,0.76019157,0.760189515,0.760324589,0.760213938,1,0.760192235,0.760236062,0.760233196,0.760194625,0.760222818,1,0.760206181,1,1,1,0.760214154,0.7602744,0.760212075,0.760209043,0.760277107,1,T3
